No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Forward P/E,PEG,P/S,P/B,P/Cash,P/Free Cash Flow,Dividend Yield,Payout Ratio,EPS (ttm),EPS growth this year,EPS growth next year,EPS growth past 5 years,EPS growth next 5 years,Sales growth past 5 years,EPS growth quarter over quarter,Sales growth quarter over quarter,Company,Industry,Shares Float,Insider Ownership,Insider Transactions,Institutional Ownership,Institutional Transactions,Float Short,Short Ratio,Return on Assets,Return on Equity,Return on Investment,Current Ratio,Quick Ratio,LT Debt/Equity,Total Debt/Equity,Gross Margin,Operating Margin,Profit Margin,Performance (Week),Performance (Month),Performance (Quarter),Industry,Country,Performance (Year),Performance (YTD),Beta,Average True Range,Volatility (Week),Volatility (Month),20-Day Simple Moving Average,50-Day Simple Moving Average,200-Day Simple Moving Average,50-Day High,50-Day Low,52-Week High,52-Week Low,Relative Strength Index (14),Change from Open,Gap,Analyst Recom,Average Volume,Relative Volume,Price,Change,Volume,Earnings Date
3011,HGT,Hugoton Royalty Trust,Basic Materials,Oil & Gas Drilling & Exploration,USA,82,36.61,,,31.54,2.97,54.67,,5.37%,130.10%,0.06,-82.30%,,-34.00%,,-33.40%,-41.20%,-18.80%,Hugoton Royalty Trust,Oil & Gas Drilling & Exploration,39.38,1.00%,0.00%,7.40%,-11.48%,0.13%,0.42,3.80%,3.90%,8.90%,,,0,0,,92.00%,87.20%,0.00%,-6.42%,9.27%,Oil & Gas Drilling & Exploration,USA,20.09%,-4.24%,0.7,0.1,4.81%,4.69%,-1.22%,-3.02%,-2.12%,-17.41%,5.58%,-24.21%,68.13%,48.88,5.13%,0.00%,,126.55,2.11,2.05,5.13%,267449,3/3/2017 8:30
3012,HGV,Hilton Grand Vacations Inc.,Services,Resorts & Casinos,USA,,,,,,,,,,,1.81,4.20%,6.29%,,,,-31.40%,9.10%,Hilton Grand Vacations Inc.,Resorts & Casinos,98.77,0.30%,,3.90%,,,,,,19.70%,,,,,33.40%,,,,,,Resorts & Casinos,USA,,,,,,,,,,,,,,,,,2,,,,,,3/1/2017 16:30
3013,HH,"Hooper Holmes, Inc.",Healthcare,Specialized Health Services,USA,8.5,,,,0.25,,10.63,,,,-0.94,-62.80%,,-54.10%,15.00%,-28.00%,-746.20%,5.40%,"Hooper Holmes, Inc.",Specialized Health Services,8.08,,,22.70%,2.77%,1.78%,2.22,-66.90%,,-155.60%,0.6,0.5,,,22.40%,-23.40%,-32.90%,-2.31%,2.45%,-1.16%,Specialized Health Services,USA,-49.08%,1.22%,1.54,0.05,5.01%,6.30%,-0.87%,-2.31%,-32.93%,-19.99%,13.53%,-68.89%,15.08%,46.97,-2.09%,2.14%,1,64.75,0.14,0.84,0.01%,9098,3/28/2017 8:30
3014,HHC,The Howard Hughes Corporation,Financial,Real Estate Development,USA,4635.2,26.9,33.4,1.34,4.72,1.84,7.1,,,0.00%,4.35,597.10%,-26.60%,29.30%,20.00%,41.10%,-94.90%,18.40%,The Howard Hughes Corporation,Real Estate Development,39.5,0.40%,-42.48%,84.20%,1.17%,3.37%,9.02,3.00%,7.50%,2.00%,,,1.13,1.13,43.70%,34.10%,18.80%,4.00%,10.90%,9.01%,Real Estate Development,USA,28.25%,2.61%,1.45,1.96,1.74%,1.80%,6.69%,4.82%,4.24%,-2.64%,11.90%,-5.57%,33.02%,71.99,0.67%,-0.04%,1.5,147.46,1.04,117.08,0.63%,152800,2/23/2017 16:30
3015,HHS,"Harte Hanks, Inc.",Services,Marketing Services,USA,98.6,,159,,0.23,0.8,14.29,197.19,21.38%,,-0.25,-824.20%,104.20%,-39.20%,,-9.60%,97.50%,-10.50%,"Harte Hanks, Inc.",Marketing Services,47.48,1.90%,0.00%,43.70%,-6.43%,0.48%,1.01,-2.60%,-8.00%,-76.00%,1.7,1.7,0,0.5,11.50%,-3.30%,-2.40%,-1.85%,11.19%,5.30%,Marketing Services,USA,-49.42%,5.30%,1.55,0.08,4.73%,4.88%,0.06%,3.48%,3.41%,-3.64%,16.91%,-57.37%,87.06%,52.77,-2.45%,1.87%,2,224.4,0.19,1.59,-0.62%,43256,3/2/2017 8:30
3016,HHYX,iShares Currency Hedged Intl High Yld Bd,Financial,Exchange Traded Fund,USA,,,,,,,,,1.75%,,,,,,,,,,iShares Currency Hedged Intl High Yld Bd,Exchange Traded Fund,,,,,,,0.58,,,,,,,,,,,-0.45%,-0.04%,,Exchange Traded Fund,USA,,1.74%,,0.22,0.00%,0.01%,0.12%,0.83%,0.83%,-0.64%,3.30%,-0.64%,3.30%,,0.00%,2.69%,,0.78,4.94,26.36,2.69%,3833,
3017,HI,"Hillenbrand, Inc.",Industrial Goods,Diversified Machinery,USA,2373.62,20.34,16.16,1.63,1.54,3.65,50.94,28.56,2.25%,45.00%,1.79,1.40%,12.75%,0.70%,12.50%,11.70%,8.00%,1.30%,"Hillenbrand, Inc.",Diversified Machinery,63.33,0.40%,-35.88%,78.20%,0.28%,2.43%,5.16,5.90%,18.20%,11.60%,1.5,1.1,1,1.03,37.30%,12.40%,7.40%,-1.09%,-2.54%,9.07%,Diversified Machinery,USA,38.83%,-4.95%,1.28,0.69,1.61%,1.86%,-0.82%,-2.48%,11.29%,-6.54%,3.97%,-6.54%,42.42%,45.41,-2.15%,-0.13%,2.3,298.47,1.06,36.45,-2.28%,315579,2/1/2017 16:30
3018,HIBB,"Hibbett Sports, Inc.",Services,Sporting Goods Stores,USA,653.07,10.15,10.56,1.92,0.67,1.97,15.85,21.77,,0.00%,2.93,1.80%,2.81%,12.80%,5.30%,7.20%,-16.00%,3.80%,"Hibbett Sports, Inc.",Sporting Goods Stores,21.73,0.20%,-30.61%,95.00%,-1.71%,20.64%,9.17,14.50%,20.50%,22.50%,3.3,0.5,0,0,35.30%,10.80%,6.80%,-11.21%,-10.54%,-33.33%,Sporting Goods Stores,USA,-11.76%,-20.38%,0.79,1.17,3.25%,3.00%,-8.59%,-16.74%,-20.09%,-31.57%,4.03%,-35.22%,4.03%,30.45,1.71%,-0.17%,3.2,489.02,0.69,29.7,1.54%,337762,3/10/2017 8:30
3019,HIFR,"InfraREIT, Inc.",Financial,REIT - Industrial,USA,1017.41,14.86,13.41,212.3,6.06,1.07,92.49,,6.02%,87.30%,1.12,-42.10%,2.74%,,0.07%,,21.40%,19.00%,"InfraREIT, Inc.",REIT - Industrial,43.65,0.20%,0.00%,97.10%,2.55%,0.79%,1.81,2.90%,7.40%,3.30%,0.3,0.3,1.05,1.2,,60.30%,29.70%,-2.18%,-2.12%,-0.08%,REIT - Industrial,USA,-14.42%,-7.31%,,0.33,2.20%,1.96%,-1.12%,-3.23%,-2.46%,-8.29%,1.53%,-18.87%,29.29%,42.64,-1.72%,0.72%,2.4,191.02,0.75,16.6,-1.01%,144097,2/28/2017 8:30
3020,HIFS,Hingham Institution for Savings,Financial,Savings & Loans,USA,402.14,17.35,,,5.6,2.5,12.45,,0.68%,11.10%,10.88,20.70%,,13.90%,,8.20%,19.60%,15.30%,Hingham Institution for Savings,Savings & Loans,1.34,2.50%,,26.10%,4.12%,0.94%,1.96,1.20%,15.40%,25.30%,,,0.01,0.01,,79.70%,32.60%,0.31%,0.30%,14.33%,Savings & Loans,USA,63.41%,-3.75%,0.69,4.03,1.47%,2.00%,-0.87%,-0.64%,26.48%,-6.70%,14.28%,-6.70%,64.42%,48.97,-0.72%,0.61%,,6.42,1.39,188.8,-0.11%,8899,1/11/2017 16:30
3021,HIG,"The Hartford Financial Services Group, Inc.",Financial,Property & Casualty Insurance,USA,18357.94,21.56,10.73,2.3,1,1.08,20.81,,1.90%,37.60%,2.24,-42.30%,9.44%,15.40%,9.38%,-3.50%,-121.20%,-0.10%,"The Hartford Financial Services Group, Inc.",Property & Casualty Insurance,373.84,0.18%,-1.90%,90.00%,-1.81%,1.31%,1.95,0.40%,5.00%,5.60%,,,0.3,0,,6.20%,4.90%,1.04%,0.25%,4.33%,Property & Casualty Insurance,USA,18.04%,1.49%,1.12,0.68,1.13%,1.30%,0.51%,0.43%,9.03%,-2.66%,3.36%,-2.66%,25.51%,53.26,-0.19%,-0.31%,2.7,2501.16,1.4,48.36,-0.49%,3492766,2/2/2017 16:30
3022,HIHO,Highway Holdings Limited,Industrial Goods,Metal Fabrication,Hong Kong,13.61,16.98,,,0.64,1.25,,,7.67%,139.00%,0.22,8.60%,,-5.50%,,-5.90%,-142.20%,-28.80%,Highway Holdings Limited,Metal Fabrication,2.54,46.50%,0.00%,20.60%,455.27%,0.16%,0.35,4.80%,7.00%,10.70%,3,2.7,0,0,26.20%,4.40%,3.90%,1.39%,4.29%,-1.48%,Metal Fabrication,Hong Kong,13.00%,12.31%,0.58,0.13,2.43%,3.16%,2.43%,5.48%,-10.69%,-3.95%,17.74%,-24.90%,25.86%,57.21,4.29%,-2.22%,,12.11,0.95,3.65,1.97%,11556,2/13/2017 8:30
3023,HII,"Huntington Ingalls Industries, Inc.",Industrial Goods,Aerospace/Defense Products & Services,USA,9735.15,17.42,19.03,1.84,1.38,5.92,13.52,22.18,1.13%,17.10%,12.16,45.10%,4.16%,51.30%,9.46%,1.50%,300.80%,0.90%,"Huntington Ingalls Industries, Inc.",Aerospace/Defense Products & Services,45.73,1.30%,-1.98%,90.00%,-1.46%,3.28%,3.3,9.50%,35.60%,22.10%,1.6,1.4,0.77,0,20.70%,12.10%,8.10%,5.77%,8.77%,21.94%,Aerospace/Defense Products & Services,USA,61.48%,15.05%,1.19,3.64,2.25%,1.79%,7.25%,11.00%,25.07%,0.06%,21.74%,0.06%,67.07%,79.87,0.43%,0.50%,2.7,454.69,1.21,211.91,0.94%,548086,2/16/2017 8:30
3024,HIIQ,"Health Insurance Innovations, Inc.",Healthcare,Health Care Plans,USA,268.45,28.98,15.83,2.79,1.61,3.01,10.87,89.48,,0.00%,0.63,241.30%,21.05%,37.83%,10.38%,54.80%,160.00%,78.70%,"Health Insurance Innovations, Inc.",Health Care Plans,6.69,9.30%,-27.07%,60.80%,7.71%,16.47%,2.42,4.50%,11.30%,0.80%,,,0.11,0.11,,8.20%,2.90%,-5.45%,-8.31%,74.16%,Health Care Plans,USA,217.63%,1.96%,0.59,1.05,6.23%,5.51%,-5.06%,4.21%,106.88%,-13.33%,45.60%,-13.33%,389.25%,49.43,1.11%,-1.10%,2.3,455.62,0.26,18.2,0.00%,117398,3/2/2017 16:30
3025,HIL,"Hill International, Inc.",Services,Management Services,USA,251.11,,20.62,,0.35,2.33,11.84,,,,-0.1,198.30%,500.00%,-17.50%,25.00%,9.80%,-333.10%,-6.10%,"Hill International, Inc.",Management Services,38.83,9.60%,-2.40%,59.40%,9.28%,1.89%,4.46,-1.10%,-4.40%,8.60%,2.1,2.1,1.34,1.4,36.70%,2.30%,-0.70%,0.00%,-11.61%,26.92%,Management Services,USA,50.00%,13.79%,0.9,0.19,2.78%,3.12%,-4.94%,5.20%,14.26%,-13.16%,39.44%,-13.16%,153.85%,50.46,1.02%,1.03%,2,164.69,0.62,4.95,2.06%,102515,3/8/2017 16:30
3026,HILO,Columbia EM Quality Dividend ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,2.57%,,,,,,,,,,Columbia EM Quality Dividend ETF,Exchange Traded Fund,,,,,,,0.22,,,,,,,,,,,0.46%,4.65%,8.10%,Exchange Traded Fund,USA,23.23%,8.01%,,0.1,0.50%,0.40%,1.94%,4.85%,4.28%,-1.86%,10.73%,-2.90%,22.13%,64.61,0.46%,-0.59%,,6.26,0.67,13.64,-0.14%,4187,
3027,HIMX,"Himax Technologies, Inc.",Technology,Semiconductor - Specialized,Taiwan,1162.73,21.16,17.75,0.85,1.6,1.33,6.48,18,1.87%,183.10%,0.33,-62.10%,34.83%,-4.70%,25.00%,1.50%,347.70%,18.90%,"Himax Technologies, Inc.",Semiconductor - Specialized,148.8,12.30%,0.00%,28.10%,-33.73%,10.16%,3.62,4.50%,8.20%,3.10%,2,1.5,0,0.31,24.30%,6.00%,5.10%,37.15%,27.11%,-12.26%,Semiconductor - Specialized,Taiwan,-16.50%,14.90%,0.93,0.32,9.03%,5.22%,27.70%,16.51%,-15.23%,-10.22%,42.21%,-41.34%,42.21%,77.01,3.74%,-1.04%,2.9,4173.52,1.75,6.94,2.66%,7310170,2/16/2017 8:30
3028,HIO,Western Asset High Income Opportunity Fund Inc.,Financial,Closed-End Fund - Debt,USA,,14.55,,,,0.92,,,,,0.35,,,0.00%,,,,,Western Asset High Income Opportunity Fund Inc.,Closed-End Fund - Debt,,,,,,,0.21,,,,,,,,,,,0.41%,2.20%,8.65%,Closed-End Fund - Debt,USA,25.86%,3.86%,,0.04,0.59%,0.75%,0.56%,2.34%,6.74%,-0.39%,6.43%,-0.39%,27.88%,65.85,0.00%,0.00%,,509.26,0.41,5.12,0.00%,209638,
3029,HIPS,Master Income ETF,Financial,Exchange Traded Fund,USA,,,,,,,,,7.07%,,,,,,,,,,Master Income ETF,Exchange Traded Fund,,,,,,,0.28,,,,,,,,,,,-0.87%,3.00%,9.14%,Exchange Traded Fund,USA,29.78%,4.29%,,0.15,0.42%,0.69%,0.69%,2.39%,7.21%,-4.18%,7.20%,-4.18%,33.87%,57.22,-0.19%,-0.02%,,4.42,3.47,18.67,-0.21%,15337,
3030,HIVE,"Aerohive Networks, Inc.",Technology,Communication Equipment,USA,257.61,,100.2,,1.52,8.95,3.36,,,,-0.74,21.50%,120.00%,-16.70%,20.00%,38.00%,3.30%,-9.70%,"Aerohive Networks, Inc.",Communication Equipment,47.16,2.80%,-2.07%,66.20%,6.92%,3.82%,11.49,-25.70%,-120.50%,-76.10%,1.7,1.5,0,0.7,67.40%,-21.70%,-21.70%,-6.53%,-12.11%,-10.05%,Communication Equipment,USA,2.45%,-12.11%,,0.18,2.97%,3.48%,-7.76%,-10.26%,-17.34%,-18.40%,1.01%,-32.75%,10.11%,32.31,-0.79%,0.40%,2.3,156.96,0.84,5.01,-0.40%,132392,2/14/2017 16:30
3031,HIW,"Highwoods Properties, Inc.",Financial,REIT - Office,USA,5168.81,50.25,35.21,6.28,7.77,2.44,104.42,,3.45%,31.50%,1.02,39.90%,10.43%,31.10%,8.00%,9.00%,374.60%,36.80%,"Highwoods Properties, Inc.",REIT - Office,99.92,0.10%,-4.00%,,1.99%,2.00%,2.53,11.50%,25.20%,4.30%,,,0.92,0.92,65.30%,26.50%,78.40%,2.54%,-0.86%,10.41%,REIT - Office,USA,23.15%,0.97%,0.87,0.72,1.32%,1.44%,0.98%,1.84%,3.95%,-3.30%,9.10%,-5.37%,26.87%,59.17,0.12%,0.30%,2.3,788.86,1.17,51.05,0.41%,921327,2/7/2017 16:30
3032,HIX,Western Asset High Income Fund II Inc.,Financial,Closed-End Fund - Debt,USA,,,,,,1.02,,,,,-0.63,,,0.00%,,,,,Western Asset High Income Fund II Inc.,Closed-End Fund - Debt,,,,,,,0.43,,,,,,,,,,,0.33%,2.29%,10.86%,Closed-End Fund - Debt,USA,37.01%,3.94%,,0.05,0.75%,0.60%,0.58%,2.96%,7.28%,-0.63%,7.95%,-0.63%,39.87%,66.52,0.14%,-0.14%,,263.8,1,7.25,0.00%,264140,
3033,HJPX,iShares Currency Hedged JPX-Nikkei 400,Financial,Exchange Traded Fund,USA,,,,,,,,,1.97%,,,,,,,,,,iShares Currency Hedged JPX-Nikkei 400,Exchange Traded Fund,,,,,,,0.43,,,,,,,,,,,1.14%,,,Exchange Traded Fund,USA,,-0.65%,,0.35,0.06%,,0.40%,0.40%,0.40%,-2.39%,2.82%,-2.39%,2.82%,,0.19%,-0.49%,,1.98,0.83,25.88,-0.30%,1646,
3034,HK,Halcon Resources Corporation,Basic Materials,Oil & Gas Drilling & Exploration,USA,836.49,,24.21,,2.06,6.27,418.25,,,,-383.47,-815.60%,-70.28%,-5.00%,,37.70%,-81.60%,-21.10%,Halcon Resources Corporation,Oil & Gas Drilling & Exploration,89.45,2.80%,-0.78%,94.20%,8.09%,6.30%,4.46,-36.00%,301.10%,-68.40%,1.2,,7.56,0,73.00%,,,-1.82%,8.41%,-3.58%,Oil & Gas Drilling & Exploration,USA,2027.91%,-2.03%,3.48,0.45,3.89%,5.07%,1.77%,1.55%,73.42%,-11.17%,14.30%,-23.81%,4059.09%,51.83,2.23%,-0.89%,2.3,1262.5,0.56,9.15,1.33%,707907,2/28/2017 16:30
3035,HL,Hecla Mining Company,Basic Materials,Silver,USA,2596.99,,27.88,,4.35,1.75,13.5,75.28,0.15%,,-0.04,-584.40%,25.53%,-30.50%,,1.20%,347.70%,71.00%,Hecla Mining Company,Silver,388.75,0.10%,-22.37%,57.10%,0.12%,3.64%,1.35,-0.60%,-1.00%,-4.90%,2.3,2,0.35,0.35,26.70%,15.60%,-2.40%,0.00%,8.94%,7.57%,Silver,USA,179.59%,25.57%,0.5,0.21,2.56%,3.19%,1.97%,9.48%,15.65%,-2.95%,29.02%,-13.83%,211.24%,59.6,0.00%,0.15%,3,10509.39,0.63,6.58,0.15%,6637918,2/23/2017 8:30
3036,HLF,Herbalife Ltd.,Consumer Goods,Personal Products,Cayman Islands,5681.53,21.54,12.25,,1.25,41.09,7.21,22.55,,0.00%,2.84,16.90%,3.31%,11.40%,-0.50%,10.30%,-7.10%,1.70%,Herbalife Ltd.,Personal Products,86.79,10.73%,123.32%,,-0.57%,28.29%,21.08,9.80%,574.70%,27.80%,1.2,0.9,8.23,11.66,81.00%,9.70%,5.40%,2.07%,15.22%,17.41%,Personal Products,Cayman Islands,28.23%,27.19%,1.68,1.34,2.18%,2.46%,6.89%,16.05%,4.67%,-2.03%,28.47%,-15.22%,38.03%,77.23,0.81%,-0.52%,2,1164.8,0.96,61.23,0.28%,1122237,2/23/2017 16:30
3037,HLG,Hailiang Education Group Inc.,Services,Education & Training Services,China,216.38,15,,,2.27,1.62,,,,0.00%,0.56,-38.50%,,,,,43.10%,326.40%,Hailiang Education Group Inc.,Education & Training Services,,,,,,,0.03,8.20%,12.30%,10.20%,1.4,1.4,0,0,24.90%,14.30%,15.20%,-2.33%,-2.33%,4.35%,Education & Training Services,China,-16.83%,14.29%,,0.16,1.57%,1.52%,-1.55%,2.30%,0.83%,-6.66%,14.29%,-16.86%,14.29%,49.11,0.00%,0.00%,,0.8,0.76,8.4,0.00%,0,
3038,HLI,"Houlihan Lokey, Inc.",Financial,Investment Brokerage - National,USA,2169.11,21.43,16.53,1.76,2.72,2.67,8.55,7.64,2.55%,44.30%,1.47,-10.20%,7.22%,,12.20%,,47.10%,20.50%,"Houlihan Lokey, Inc.",Investment Brokerage - National,9.86,0.10%,-81.60%,12.90%,6.71%,1.03%,0.44,9.30%,14.20%,10.80%,,,0,0,,20.80%,12.20%,3.87%,2.98%,22.01%,Investment Brokerage - National,USA,30.86%,0.90%,,0.91,3.17%,2.77%,0.16%,0.87%,21.11%,-9.41%,6.40%,-9.41%,51.73%,50.51,-3.35%,-0.06%,2.2,230.59,2.59,31.4,-3.41%,596212,2/1/2017 16:30
3039,HLIT,Harmonic Inc.,Technology,Communication Equipment,USA,450.53,,19.39,,1.19,1.58,8.57,,,,-0.88,64.20%,583.30%,-33.20%,35.00%,-2.30%,-275.00%,21.70%,Harmonic Inc.,Communication Equipment,76.38,1.00%,3.27%,99.40%,2.42%,13.60%,19.99,-12.10%,-22.80%,-3.50%,1.6,1.3,0.42,0.44,50.10%,-15.80%,-18.20%,5.56%,11.76%,16.33%,Communication Equipment,USA,66.18%,14.00%,1.01,0.26,5.14%,5.10%,7.95%,9.70%,31.83%,-3.06%,20.00%,-7.01%,127.09%,62.35,-0.87%,0.00%,2.2,519.7,1.23,5.7,-0.87%,638771,2/28/2017 16:30
3040,HLS,HealthSouth Corporation,Healthcare,Specialized Health Services,USA,3741.78,17.09,15.6,1.27,1.05,5.15,48.98,10.98,2.29%,36.30%,2.46,-14.50%,4.87%,-25.20%,13.48%,10.90%,25.20%,18.80%,HealthSouth Corporation,Specialized Health Services,87.39,2.60%,0.56%,91.60%,6.60%,11.79%,9.07,5.00%,34.50%,10.10%,1.4,1.4,4.09,4.15,96.10%,17.80%,6.40%,4.04%,5.13%,4.41%,Specialized Health Services,USA,37.34%,1.84%,0.88,0.71,2.06%,1.55%,5.22%,2.79%,4.39%,-1.07%,9.83%,-2.05%,39.44%,63.55,1.11%,-0.31%,2.4,1136.22,0.67,42,0.79%,763917,2/21/2017 16:30
3041,HLT,Hilton Worldwide Holdings Inc.,Services,Lodging,USA,19544.85,55.93,27.88,5.48,1.68,3.25,13.78,31.52,1.44%,79.80%,1.05,-75.20%,19.34%,6.50%,10.20%,5.80%,-147.80%,2.20%,Hilton Worldwide Holdings Inc.,Lodging,193.53,1.10%,-98.36%,,,5.17%,2.5,1.30%,5.60%,5.60%,1.3,1.1,1.8,1.83,61.90%,15.70%,3.00%,-0.32%,1.74%,16.13%,Lodging,USA,45.21%,4.81%,,0.88,1.95%,1.32%,0.44%,2.84%,18.22%,-3.29%,10.80%,-3.29%,51.61%,54.63,-0.90%,-0.35%,1.9,4002.1,0.69,58.5,-1.25%,2762614,2/15/2017 8:30
3042,HLTH,Nobilis Health Corp.,Healthcare,Hospitals,USA,170.78,3.97,6.67,0.2,0.63,1.3,,,,,0.55,-38.50%,37.50%,,20.00%,,,37.10%,Nobilis Health Corp.,Hospitals,55.64,8.04%,0.00%,20.50%,36.06%,13.32%,13.91,,,,,,,,,,,-2.22%,2.33%,-8.33%,Hospitals,USA,-9.09%,4.76%,,0.11,3.79%,4.62%,1.38%,-1.61%,-20.59%,-21.43%,22.22%,-52.79%,22.22%,52.93,0.00%,2.33%,1.5,532.74,0.66,2.2,2.33%,349425,3/14/2017 8:30
3043,HLX,"Helix Energy Solutions Group, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,1115.28,,,,2.16,0.63,2.31,,,,-4.07,-293.60%,57.60%,-25.52%,43.00%,-2.10%,6.70%,-11.70%,"Helix Energy Solutions Group, Inc.",Oil & Gas Equipment & Services,135.76,5.90%,-0.47%,75.60%,2.17%,5.37%,2.64,-2.30%,-4.30%,-10.20%,2.5,2.5,0.45,0.51,9.50%,-9.50%,-10.60%,-3.01%,-13.23%,-24.92%,Oil & Gas Equipment & Services,USA,162.77%,-15.99%,2.36,0.41,5.46%,4.93%,-8.15%,-17.29%,-10.94%,-37.57%,1.79%,-37.57%,163.70%,37.17,-3.64%,-0.52%,2.3,2764.64,0.86,7.41,-4.14%,2384093,2/20/2017 16:30
3044,HMC,"Honda Motor Co., Ltd.",Consumer Goods,Auto Manufacturers - Major,Japan,57270.68,15.1,10.14,0.56,0.47,0.88,3.24,275.74,2.69%,38.00%,2.09,-32.40%,11.72%,-8.40%,27.00%,10.30%,35.90%,-3.20%,"Honda Motor Co., Ltd.",Auto Manufacturers - Major,1720.25,0.30%,0.00%,2.90%,-5.86%,0.04%,0.88,2.40%,6.30%,2.00%,1.2,0.9,0.54,0.97,22.50%,4.60%,3.10%,0.13%,4.15%,10.76%,Auto Manufacturers - Major,Japan,21.91%,8.29%,1.12,0.43,0.81%,0.96%,2.31%,3.96%,9.85%,-1.74%,8.66%,-1.74%,31.54%,58.7,0.80%,-0.44%,2,721.94,0.82,31.61,0.35%,594553,2/3/2017 8:30
3045,HMG,"HMG/Courtland Properties, Inc.",Financial,REIT - Retail,USA,10.6,28.73,,,160.61,0.51,3.31,,,135.40%,0.37,-559.40%,,4.90%,,,90.00%,2.60%,"HMG/Courtland Properties, Inc.",REIT - Retail,0.29,73.48%,-0.34%,4.60%,-3.84%,0.40%,3.22,1.40%,1.80%,,,,0,0.08,,,,1.93%,-6.61%,5.40%,REIT - Retail,USA,12.90%,0.86%,0.8,0.13,1.26%,0.73%,-1.39%,-1.71%,3.52%,-6.85%,4.44%,-6.85%,31.63%,47.02,0.00%,-0.46%,,0.36,4.2,10.6,-0.47%,1524,2/27/2017 8:30
3046,HMHC,Houghton Mifflin Harcourt Company,Services,Education & Training Services,USA,1322.33,,,,0.93,1.3,6.11,,,,-1.59,-23.40%,35.20%,11.40%,5.00%,0.30%,-21.90%,-7.40%,Houghton Mifflin Harcourt Company,Education & Training Services,117.02,0.10%,0.00%,,-2.98%,2.92%,4.2,-6.70%,-19.00%,-5.00%,1.6,1.3,0.72,0.73,42.90%,-9.60%,-14.10%,10.24%,6.60%,2.73%,Education & Training Services,USA,-34.98%,4.15%,,0.43,4.37%,4.03%,5.85%,4.09%,-18.70%,-4.24%,13.57%,-46.39%,23.50%,60.29,4.15%,0.93%,2.1,812,1.47,11.3,5.12%,1193904,2/23/2017 8:30
3047,HMLP,Hoegh LNG Partners LP,Services,Shipping,Bermuda,631.97,15.19,10.22,0.39,6.93,2.21,26.11,150.47,8.53%,129.90%,1.27,-22.70%,59.43%,,38.70%,,158.80%,102.60%,Hoegh LNG Partners LP,Shipping,3.53,,,75.80%,29.82%,0.31%,0.12,4.50%,14.30%,8.10%,0.8,0.7,1.56,1.7,81.20%,65.80%,36.70%,0.26%,4.01%,8.28%,Shipping,Bermuda,45.98%,4.01%,,0.31,1.83%,1.70%,0.53%,3.72%,9.70%,-1.78%,12.28%,-1.78%,56.68%,58.36,-1.02%,0.00%,1.6,92.97,0.99,19.35,-1.02%,92187,2/27/2017 8:30
3048,HMN,Horace Mann Educators Corporation,Financial,Property & Casualty Insurance,USA,1702.33,20.73,18.04,1.63,1.53,1.35,,,2.53%,52.10%,2.02,-8.40%,11.40%,3.50%,12.70%,3.30%,-2.90%,-11.90%,Horace Mann Educators Corporation,Property & Casualty Insurance,39.65,0.40%,-6.30%,,-0.07%,1.18%,2.66,0.80%,6.10%,6.20%,,,0.19,0.19,,11.30%,7.50%,-0.71%,-0.12%,10.07%,Property & Casualty Insurance,USA,39.79%,-1.99%,1,0.86,1.73%,1.95%,-0.40%,-1.30%,13.78%,-4.98%,4.61%,-4.98%,42.88%,47.36,-0.83%,0.00%,3,175.32,1.23,41.95,-0.83%,215335,2/6/2017 16:30
3049,HMNF,"HMN Financial, Inc.",Financial,Savings & Loans,USA,83.07,13.83,,,3.04,1.03,0.79,,,0.00%,1.34,120.00%,,19.00%,,-7.10%,50.50%,9.80%,"HMN Financial, Inc.",Savings & Loans,3.53,11.50%,0.00%,45.10%,11.63%,0.03%,0.37,1.00%,8.60%,26.90%,,,0.09,0.09,,96.70%,23.20%,0.00%,5.11%,17.09%,Savings & Loans,USA,64.88%,5.71%,0.85,0.21,0.24%,1.03%,0.97%,4.61%,23.16%,-1.07%,16.35%,-1.07%,68.18%,58.5,0.00%,0.00%,,2.54,0.2,18.5,0.00%,0,1/26/2017
3050,HMNY,Helios and Matheson Analytics Inc.,Technology,Information Technology Services,USA,21.3,,,,2.66,12.03,17.75,,,,-0.5,,,-10.20%,,-6.00%,58.80%,-32.00%,Helios and Matheson Analytics Inc.,Information Technology Services,1.36,43.10%,0.00%,3.30%,133.86%,21.72%,0.65,-39.90%,-79.30%,11.90%,2,2,0,0,30.80%,-3.60%,-14.60%,-1.90%,7.76%,-41.21%,Information Technology Services,USA,85.65%,9.39%,0.79,0.39,4.58%,12.37%,-5.20%,-5.82%,-43.57%,-44.46%,17.91%,-78.76%,250.49%,43.47,0.84%,-1.65%,,454.37,0.17,3.61,-0.82%,77058,11/14/2016
